RecordID,DateID,WarehouseID,EquipmentID,MaintenanceID,UptimeHours,DowntimeHours,PackagesProcessed,EnergyUsed_kWH,ThroughputRate,MaintenanceCost
1,20250416,95,9,129,21.46,2.54,8176,74.1,380.99,167.36
2,20231118,13,60,467,22.59,1.41,7115,68.37,314.96,92.91
3,20180325,95,25,826,22.79,1.21,7611,117.69,333.96,79.73
4,20170804,100,81,994,22.95,1.05,5921,134.82,258.0,69.19
5,20240725,82,23,911,18.56,5.44,6885,82.14,370.96,358.45
6,20151111,62,87,470,19.07,4.93,3585,111.69,187.99,324.84
7,20240626,85,40,67,16.21,7.79,6013,69.55,370.94,513.29
8,20220901,3,62,772,23.3,0.7,5172,75.38,221.97,46.12
9,20191110,14,69,168,22.8,1.2,4674,87.23,205.0,79.07
10,20200704,98,95,196,20.47,3.53,5629,94.14,274.99,232.6
11,20210614,21,34,685,19.8,4.2,5662,63.75,285.96,276.74
12,20250221,44,43,904,21.72,2.28,6841,120.19,314.96,150.23
13,20200823,75,79,21,22.82,1.18,8192,99.05,358.98,77.75
14,20150128,86,42,601,21.35,2.65,3437,121.76,160.98,174.61
15,20200813,78,50,1000,18.2,5.8,6078,105.38,333.96,382.17
16,20151230,69,54,317,21.87,2.13,6386,87.7,292.0,140.35
17,20240504,55,74,109,18.23,5.77,4557,71.82,249.97,380.19
18,20180112,59,92,33,23.42,0.58,5808,135.38,247.99,38.22
19,20230723,90,85,712,23.7,0.3,9432,94.81,397.97,19.77
20,20240328,75,69,804,18.68,5.32,6052,103.95,323.98,350.54
21,20180919,50,17,202,20.06,3.94,7642,107.64,380.96,259.61
22,20160606,14,52,645,20.83,3.17,4707,96.01,225.97,208.88
23,20180722,45,84,75,17.77,6.23,7072,67.75,397.97,410.5
24,20161227,48,43,14,21.84,2.16,5110,85.42,233.97,142.33
25,20180618,74,14,722,17.78,6.22,2827,54.67,159.0,409.84
26,20220428,69,48,160,16.42,7.58,4203,76.81,255.97,499.46
27,20161130,87,90,195,22.03,1.97,7402,94.83,336.0,129.81
28,20151227,1,83,725,20.68,3.32,4818,115.93,232.98,218.76
29,20190106,31,27,441,20.28,3.72,5597,110.8,275.99,245.12
30,20231125,71,64,862,17.56,6.44,6409,92.09,364.98,424.34
31,20170726,47,12,957,22.56,1.44,8663,118.19,384.0,94.88
32,20180906,68,41,175,16.7,7.3,3590,78.32,214.97,481.01
33,20220715,73,68,768,21.15,2.85,7402,126.65,349.98,187.79
34,20170322,81,57,755,18.03,5.97,6797,98.54,376.98,393.37
35,20210430,87,67,828,16.76,7.24,4541,59.89,270.94,477.05
36,20151029,96,25,274,18.59,5.41,4405,68.22,236.96,356.47
37,20241229,36,26,666,18.84,5.16,5878,76.47,312.0,340.0
38,20180611,81,70,806,19.92,4.08,7649,114.68,383.99,268.84
39,20201023,1,27,61,23.07,0.93,4221,122.32,182.96,61.28
40,20150820,13,21,352,20.78,3.22,3241,119.23,155.97,212.17
41,20200504,83,38,898,18.07,5.93,5294,79.62,292.97,390.74
42,20160103,80,44,111,20.35,3.65,5352,114.35,263.0,240.5
43,20230430,67,10,823,17.01,6.99,2993,100.83,175.96,460.58
44,20230921,71,71,616,22.92,1.08,6440,78.15,280.98,71.16
45,20250325,44,16,945,18.39,5.61,6933,60.98,377.0,369.65
46,20220301,4,51,299,21.55,2.45,5775,75.92,267.98,161.43
47,20170412,65,45,366,16.04,7.96,3272,77.84,203.99,524.5
48,20200427,93,97,874,23.73,0.27,3986,74.12,167.97,17.79
49,20230501,78,33,258,19.03,4.97,3710,73.32,194.96,327.48
50,20231104,28,31,17,18.65,5.35,4531,104.95,242.95,352.52
51,20160328,74,98,685,21.6,2.4,6739,122.9,311.99,158.14
52,20210216,62,48,360,18.5,5.5,2830,62.83,152.97,362.4
53,20170616,71,18,529,16.79,7.21,5339,61.93,317.99,475.08
54,20171007,21,57,545,23.77,0.23,6322,75.07,265.97,15.16
55,20200119,30,16,551,16.08,7.92,3087,82.51,191.98,521.86
56,20210218,34,54,964,20.84,3.16,4939,84.45,237.0,208.22
57,20180205,62,47,928,23.95,0.05,6777,92.61,282.96,3.29
58,20150409,93,27,462,23.54,0.46,7603,107.33,322.98,30.31
59,20250131,75,27,457,16.91,7.09,3263,59.27,192.96,467.17
60,20150329,62,51,711,16.85,7.15,5560,94.8,329.97,471.12
61,20190518,58,91,844,22.54,1.46,8475,128.29,376.0,96.2
62,20191204,76,19,336,18.07,5.93,3451,95.04,190.98,390.74
63,20200407,8,9,18,21.74,2.26,8609,107.22,396.0,148.91
